date,growth,VIX-std,redev-std,economics-std,monetary-std
2012/2/1,0.003828852,-0.222349193,-0.631511798,0.017049971,-0.393893276
2012/3/1,-0.008193889,-0.742754295,-0.261692238,-0.522554149,-1.102357976
2012/4/2,-0.003256171,-0.449693401,0.120466166,-0.406884472,-0.548519798
2012/5/1,-0.000509589,0.777610096,-0.136427395,0.072506294,-0.570084496
2012/6/1,-0.005586363,-0.462126288,0.83442106,1.143813959,0.632583009
2012/7/2,0.006072269,-0.133542862,0.025630455,1.202467849,0.488507757
2012/8/1,-0.002795873,-0.392857349,-0.567548091,0.712710527,0.218108193
2012/9/4,0.000774534,-0.701903382,-0.22220726,0.996735126,0.716965319
2012/10/1,-0.009700911,-0.192155041,-0.35743012,1.424116429,-0.082927492
2012/11/1,-0.00099076,-0.677037609,0.220434579,2.221951312,0.53616172
2012/12/3,-0.000521433,-0.295170385,-0.242783828,2.265973366,0.159879764
2013/1/2,-0.00643601,-0.959441743,-0.460048022,1.967476612,0.048490753
2013/2/1,-0.004474857,-0.740978168,-0.061143429,0.747348433,-0.295822608
2013/3/1,0.001778681,-1.24006975,-0.751534912,0.683998304,-0.340533077
2013/4/1,-0.001056724,-1.094427366,0.060774975,-0.535257763,-1.034179628
2013/5/1,-0.001930416,-0.600664165,-0.332411341,-0.668860363,-1.016021558
2013/6/3,0.001658868,-0.501201074,0.434944308,-0.521759421,-0.670473437
2013/7/1,-0.005570559,-1.106860253,-0.825136409,-0.306373714,-0.736620193
2013/8/1,-0.007164369,-0.474559174,-0.391277651,-0.266044898,-0.305822221
2013/9/3,-0.001005275,-0.547380366,-0.597612504,0.26367096,-0.018917504
2013/10/1,-0.005499683,-1.053576454,-0.15418904,1.874931351,1.105701012
2013/11/1,-0.001795674,-1.062457087,-0.571622871,-0.499019634,-0.468738284
2013/12/2,0.00247556,-1.058904834,-0.507032054,-0.174839396,0.010033329
2014/1/2,-0.009339692,-0.225901447,-0.136013305,-0.111059342,-0.312573862
2014/2/3,-0.008270297,-1.009173288,-0.110306664,-0.367171428,-0.86292615
2014/3/3,-0.000800798,-1.030486808,-0.392967659,-0.736673087,-0.844050939
2014/4/1,-0.004789435,-1.113964759,-0.065638449,-1.060114257,-1.175540467
2014/5/1,-0.004053157,-1.470966211,-0.662272313,-0.900968805,-1.098198821
2014/6/2,-0.003472184,-1.440772058,-0.9559651,-1.011466771,-1.295752189
2014/7/1,0.000150298,-0.485215934,-0.365462608,-0.706215798,-0.89174038
2014/8/1,-0.007008321,-1.367950867,-0.714972207,-1.235982536,-1.018092043
2014/9/2,0.000402226,-0.598888038,-0.508323061,-1.103777608,-0.835960802
2014/10/1,-0.011018199,-1.003844908,0.556416275,-0.859888814,-0.910452242
2014/11/3,0.000824356,-1.128173772,-1.16105628,-1.04553078,-1.066659707
2014/12/1,0.004081902,-0.085587443,0.209469408,-0.871882418,-0.977394176
2015/1/2,-0.000991112,0.228786969,0.400653318,-0.565020912,-0.728487489
2015/2/2,0.006414709,-1.126397646,-0.496763897,-0.777182601,-0.99502683
